0.8417,174.66,1.6265,230.38,173.38,161.95,129.03,247.35,1380.47,16670.77,1029.89,341.5,13.5
0.899,162.39,1.5964,233.52,173.2,164.83,129.25,250.84,1357.45,17654.19,1011.94,343.5,11.1
0.9387,153.65,1.5677,236.62,175.16,160.6,130.66,236.12,1288.6,17509.71,932.96,352,9.25
0.9662,153.93,1.5768,235.63,178.24,162.09,132.88,252.93,1497.5,18533.68,1032.5,387.5,14.45
0.9678,154.22,1.589,234.56,176.91,156.93,132.78,231.32,1408.02,17852.86,992.23,420,13.8
0.9479,163.24,1.6237,236.74,175.64,157.52,134.15,243.98,1426.32,16910.63,1045.43,401.5,13.95
0.9949,161.85,1.6287,240.54,175.48,161.06,134.52,249.22,1466.28,18083.02,1081.76,384.5,14.65
1.0165,158.05,1.6411,242.95,178.58,162.26,135.31,242.17,1432.25,18820.65,1085.56,389,17.85
1.0819,153.73,1.6496,243.23,180.61,166.4,136.87,274.08,1294.45,20048.35,1049.7,410,18.4
1.0677,153.2,1.6465,243.61,181.53,169.41,136.62,284.2,1244.36,20421.66,1007.2,405,16.05
1.0741,146.35,1.634,240.15,183.58,175.52,136.79,291.7,1301.71,21566.66,1024.1,418,18.5
1.0972,141.2,1.6062,233.41,186.79,180.55,137.27,288.36,1308.14,23274.83,1006.1,454,18.35
1.0668,143.79,1.6218,232.97,188.87,182.58,137.42,290.1,1316.43,24772.39,1001.4,449.5,18.65
1.0699,146.69,1.6231,235.57,186.25,175.64,138.39,304,1382.56,24176.4,1045.4,446.5,18.95
1.0493,150.12,1.6186,234.63,183.75,166.06,139.17,318.66,1510.54,24488.11,1121.7,461.5,20
1.0791,141.95,1.6131,230.25,182.48,166.09,138.9,329.79,1537.81,26029.22,1127,451.5,18.65
1.0586,147,1.6277,228.04,181.26,159.09,136.89,321.83,1500.17,26010.88,1173.2,458,18.6
1.1423,138.32,1.6171,233.86,180.1,158.16,139.28,251.79,1177.38,22765.04,884.3,464,18.8
1.1872,132.3,1.6041,238.84,186.64,166.96,142.22,230.3,1022.84,22686.78,786,494,17.7
1.2412,121.1,1.5832,241.43,187.64,167.79,141.91,247.08,1000,21564,769.4,484,17.95
1.1561,128.05,1.5932,247.91,187.49,171.01,142.34,257.07,935.57,23622.32,765,466,16.25
1.1611,128.45,1.6132,251.09,190.81,171.71,142.96,267.82,1079.55,25242.81,828.7,423,14.7
1.1816,124.34,1.6094,249.23,192.99,170.43,143.46,258.89,1063.17,26260.26,812.3,456,15.75
1.1679,125.16,1.6275,246.94,192.8,175.16,145.41,261.33,1054.46,27434.12,822.2,448,16.85
1.1334,125.33,1.6332,248.47,190.31,172.69,143.82,262.16,1083.31,27416.7,822.2,453,16.15
1.0749,133.87,1.6211,250.97,192.51,171.09,143.99,273.5,1140.49,27769.4,869.4,435.5,14.2
1.0424,133.17,1.6293,250.66,191.23,171.95,142.78,272.02,1181.72,27911.63,884.7,431,15.8
1.0441,136.64,1.6501,253.14,191.14,166.56,143.35,261.52,1165.36,27365.95,885.5,426.5,14.35
1.0516,133.71,1.6535,258.1,194.55,171.18,144.61,271.91,1252.69,27923.67,910.9,394,11.8
1.0945,125.65,1.648,260.31,197.99,179.55,146.28,278.97,1300.79,27982.54,936.4,411,12.4
1.129,122.07,1.6376,261.39,199.05,181.91,145.51,273.7,1275.99,29578.9,921.7,420,14.6
1.1031,124.95,1.6564,264.01,198.9,182.73,145.99,280.67,1327.87,30159,942.5,408,16.35
1.0502,130.53,1.6656,267.73,197.69,182.83,141.98,299.63,1312.73,31581.3,964.4,393.5,16.6
1.0657,126.83,1.6682,265.38,195.74,180.93,140.57,293.87,1288.66,31985.6,955.6,385.5,17.2
1.0394,132.41,1.7145,267.23,196.55,181.9,140.33,297.16,1322.66,32838.68,998.1,381,19.4
1.0404,132.77,1.7408,272.89,199.5,180.53,138.84,307.61,1370.9,33713.35,1035.1,380,19.2
0.986,142.29,1.6886,279.25,198.95,178.86,137.23,326.95,1407.29,34266.75,1005.3,362.5,18.25
1.0141,143.96,1.6801,290.55,203.07,177.26,139.94,324.91,1473.72,32948.69,1094.5,370,18.1
1.0489,136.96,1.684,294.16,205.47,183.1,140,349.41,1554.16,34953.87,1164.5,367,17.3
0.9892,144.58,1.686,292.09,204.2,183.04,139.79,348.35,1597.85,34431.2,1209.4,358.5,17.3
1.0436,139.63,1.695,292.91,202.89,182.76,139.25,358.78,1574.37,35636.76,1176.7,367,18.4
1.0642,142.74,1.7149,301.07,203.39,179.85,139.79,334.81,1472.76,35549.44,1107.8,375,19.4
1.0978,142.93,1.7487,302.72,201.87,180.56,139.54,347.59,1577.43,37268.79,1140.9,405,18.45
1.1563,143.72,1.7839,303.87,203.01,178.78,138.08,352.2,1790.37,38915.87,1137.9,399,20.95
1.1638,144.49,1.7426,296.16,199.56,168.64,135.24,333.75,1823.44,37188.95,1102.3,416,20.5
1.139,148.82,1.7188,299.05,190.09,165.89,133.55,336.95,1809.92,34591.99,1096.2,407.5,19.45
1.1485,157.36,1.7325,299.02,194.15,163.76,133.21,340.08,1968.55,29980.45,1079.6,370,18.05
1.1654,158.74,1.6913,294.13,191.23,170.57,133.05,340.53,1813.25,29584.8,1044,370,16.65
1.155,152.65,1.6488,303.04,193.82,176.98,136.81,363.15,1844.81,33130.8,1173.6,362,15.75
1.1792,152.19,1.6634,308.41,195.16,174.6,138.8,358.42,1879.9,31940.24,1199.8,350.5,16.45
1.2288,146.1,1.6619,310.86,198.93,170.69,140.29,334.83,1919.2,31035.66,1178.1,367.5,19.35
1.2344,143.86,1.6229,302.95,195.68,165.17,136.74,323.4,1629.51,25978.37,1018.8,387,26.4
1.2602,138.24,1.6299,305.79,194.85,162.1,137.82,311.5,1334.89,20983.5,894.5,402.5,41.1
1.2971,129.89,1.6635,310.95,197.57,173.41,138.66,306.01,1433.82,25194.1,925.6,377,35.45
1.292,133.15,1.6652,320.73,200.58,177.99,138.74,327.75,1441.23,22454.63,901.3,384,30.3
1.3084,135.62,1.6677,324.65,200.69,182.14,138.92,315.44,1398.23,23848.71,908.3,384,28.85
1.3229,131.43,1.6634,328.54,205.83,184.69,141.81,356.52,1420.08,23293.14,924.8,369,21.15
1.2807,132.95,1.6977,332.18,211.35,186.24,144.05,375.91,1542.09,26409.22,1017.9,362,19.5
1.1471,141.17,1.669,332.26,211.06,183.84,145.78,375.36,1522.8,26292.04,1059.1,352,18
1.1391,136.31,1.6533,335.32,214.09,184.08,147.34,377.32,1605.79,26111.25,1073.7,351.5,19.6
1.1246,138.46,1.6662,336.7,216.47,186.23,150.58,379.43,1704.11,25789.62,1123.4,360,18.9
1.0779,137.89,1.6795,334.85,215.15,184.46,149.53,374.08,1622.18,23290.96,1091.4,365.5,18.65
1.1209,137.39,1.7959,339.02,214.38,189.1,149.81,390.56,1622.31,24120.75,1123.3,361.5,19.75
