0.314914;0.617008;2;0.01;5;0.01;1;1;0;0
0.317097;0.617008;2;0.02;5;0.02;1;1;0;0
0.303974;0.635676;2;0.02;6;0.01;1;1;0;0
0.293441;0.540268;2;0.04;5;0.03;1;1;0;0
0.304173;0.633848;2;0.04;11;0.03;1;1;0;0
0.31193;0.633848;2;0.05;11;0.05;1;1;0;0
0.299065;0.633848;2;0.05;11;0.06;1;1;0;0
0.299065;0.633848;2;0.05;11;0.07;1;1;0;0
0.30223;0.633848;2;0.05;11;0.08;1;1;0;0
0.300194;0.633848;2;0.05;11;0.09;1;1;0;0
0.300194;0.633848;2;0.05;11;0.1;1;1;0;0
0.307395;0.633848;3;0.01;11;0.01;1;1;1;0
0.304426;0.633848;3;0.02;11;0.02;1;1;1;0
0.292429;0.625122;3;0.03;11;0.01;1;1;1;0
0.29532;0.633848;3;0.05;11;0.03;1;1;1;0
0.290643;0.625122;3;0.06;8;0.02;1;1;1;0
0.301697;0.633848;3;0.06;11;0.05;1;1;1;0
0.312771;0.611484;3;0.08;7;0.03;1;1;1;2
0.314914;0.617008;5;0.01;2;0.01;1;1;0;0
0.317097;0.617008;5;0.02;2;0.02;1;1;0;0
0.293441;0.540268;5;0.03;2;0.04;1;1;0;0
0.303974;0.635676;6;0.01;2;0.02;1;1;0;0
0.312771;0.611484;7;0.03;3;0.08;1;1;2;1
0.290643;0.625122;8;0.02;3;0.06;1;1;0;1
0.307395;0.633848;11;0.01;3;0.01;1;1;0;1
0.292429;0.625122;11;0.01;3;0.03;1;1;0;1
0.304426;0.633848;11;0.02;3;0.02;1;1;0;1
0.312241;0.633848;11;0.02;3;0.02;1;3;0;2
0.304173;0.633848;11;0.03;2;0.04;1;1;0;0
0.29532;0.633848;11;0.03;3;0.05;1;1;0;1
0.292503;0.633848;11;0.04;3;0.04;1;3;0;2
0.31193;0.633848;11;0.05;2;0.05;1;1;0;0
0.301697;0.633848;11;0.05;3;0.06;1;1;0;1
0.299065;0.633848;11;0.06;2;0.05;1;1;0;0
0.299065;0.633848;11;0.07;2;0.05;1;1;0;0
0.30223;0.633848;11;0.08;2;0.05;1;1;0;0
0.300194;0.633848;11;0.09;2;0.05;1;1;0;0
0.300194;0.633848;11;0.1;2;0.05;1;1;0;0
